,order_in_document,latitude_longitude,DLS_code,page_number,species,status
0,1,"50.926117339479816 N, 105.93212386222845 W",NE-3-23-29-W2M,2,,
1,2,"52.60739947550666 N, 111.28101258249816 W",SW-19-42-9-W4M,4,,
2,3,"52.53744656023438 N, 111.11240700782334 W",SW-26-41-8-W4M,4,,
3,4,"52.19974283133372 N, 109.84311106428004 W",SW-30-37-28-W3M,4,,
4,5,"52.13943859403004 N, 109.70820683637601 W",SE-5-37-27-W3M,4,,
5,6,"52.081546526218496 N, 109.70339516588734 W",SE-17-36-27-W3M,4,,
6,7,"51.922343339736756 N, 109.1270293134454 W",SE-23-34-23-W3M,4,,
7,8,"51.702835915951326 N, 108.43458798914419 W",SE-4-32-18-W3M,4,,
8,9,"51.55328140743818 N, 108.06578956658973 W",SW-14-30-15-W3M,4,,
9,10,"51.608761305757575 N, 107.96344094745977 W",SE-1-31-15-W3M,4,,
10,11,"51.46161896673657 N, 119.60680972509354 W",NW-9-29-98-W3M,5,,
11,12,"51.20110466158464 N, 106.57167823267999 W",SW-12-26-5-W3M,5,,
12,13,"50.926117339479816 N, 105.93212386222845 W",NE-3-23-29-W2M,5,,
13,14,"50.59323794956346 N, 105.15190008816991 W",SE-12-19-24-W2M,5,,
14,15,"50.58117710210272 N, 105.13969646833309 W",SW-7-19-23-W2M,5,,
15,16,"50.376142695270175 N, 104.46797884390264 W",SW-30-16-19-W2M,5,,
16,17,"50.3013654410136 N, 103.79567518542882 W",SE-35-15-14-W2M,5,,
17,18,"50.28689242406072 N, 103.86308344087446 W",NE-26-15-14-W2M,5,,
18,19,"50.178344796914075 N, 103.24864795304586 W",NE-17-14-10-W2M,5,,
19,20,"50.17593262742193 N, 103.28248314406972 W",NW-16-14-10-W2M,5,,
20,21,"50.16869611894549 N, 103.28228893672198 W",SW-16-14-10-W2M,5,,
21,22,"50.17593262742193 N, 103.28248314406972 W",NW-16-14-10-W2M,5,,
22,23,"50.16869611894549 N, 103.28228893672198 W",SW-16-14-10-W2M,5,,
23,24,"50.101155373165355 N, 102.61485610782255 W",NE-21-13-5-W2M,5,,
24,25,"49.864762762934895 N, 101.62852012271587 W",NW-31-10-31-WPM,5,,
25,26,"49.74415428832752 N, 101.18140004770366 W",SE-20-9-28-WPM,5,,
26,27,"49.736917779851076 N, 100.6545925037656 W",NW-14-9-24-WPM,5,,
27,28,"49.61872147473585 N, 100.15536636279184 W",NW-1-8-21-WPM,6,,
28,29,"49.61872147473585 N, 100.14419668841175 W",NE-1-8-21-WPM,6,,
29,30,"49.52705903403424 N, 99.30300278415581 W",SW-2-7-14-WPM,6,,
30,31,"49.40886272891901 N, 98.84256062394367 W",NE-22-5-11-WPM,6,,
31,32,"49.41127489841116 N, 98.83150626490357 W",NW-23-5-11-WPM,6,,
32,33,"49.31961245770955 N, 98.52920243078775 W",SE-24-4-9-WPM,6,,
33,34,"49.18453096614929 N, 98.13877781786994 W",NW-1-3-6-WPM,6,,
34,35,"49.126638898337745 N, 97.9168142107153 W",SW-16-2-4-WPM,6,,
35,36,"51.96817456008756 N, 109.3181572334575 W",NE-3-35-24-W3M,6,,
36,37,"50.822394051317474 N, 105.67136957769969 W",NE-32-21-27-W2M,6,,
37,38,"50.701785576710094 N, 105.30772378027694 W",NW-18-20-25-W2M,6,,
38,39,"50.58479535634094 N, 105.13423909677361 W",7-19-23-W2M,6,,
39,40,"50.55946757667339 N, 105.05851228875738 W",SE-34-18-23-W2M,6,,
40,41,"50.44368344105031 N, 104.84648540168753 W",NE-19-17-21-W2M,6,,
41,42,"50.27000723761569 N, 103.74920553758292 W",NE-19-15-13-W2M,6,,
42,43,"50.27241940710783 N, 103.73797185927106 W",NW-20-15-13-W2M,6,,
43,44,"50.19764215285126 N, 103.36219808080067 W",NE-25-14-11-W2M,6,,
44,45,"50.209703000312 N, 103.22685346805352 W",NE-30-14-10-W2M,6,,
45,46,"50.19281781386697 N, 103.32815022778536 W",SW-26-14-10-W2M,6,,
46,47,"50.165077864707264 N, 103.09579392677466 W",13-14-9-W2M,6,,
47,48,"50.16628394945334 N, 102.96590458754532 W",NW-12-14-8-W2M,6,,
48,49,"50.14336833927794 N, 102.86946217873134 W",4-14-7-W2M,6,,
49,50,"50.13251357656328 N, 102.82975288959034 W",SW-1-14-7-W2M,6,,
50,51,"50.13251357656328 N, 102.81846373462993 W",SE-1-14-7-W2M,6,,
51,52,"50.13251357656328 N, 102.81846373462993 W",SE-1-14-7-W2M,6,,
52,53,"50.12527706808683 N, 102.73932784837072 W",SW-34-13-6-W2M,6,,
53,54,"50.11321622062609 N, 102.78428003294563 W",NW-26-13-6-W2M,6,,
54,55,"50.11321622062609 N, 102.77299542815504 W",NE-26-13-6-W2M,6,,
